gene,Threshold,power,power_min,fpr,fpr_max,n_couples,n_events
PER2,0.9,1.0,1.0,0.0,0.0,10,5
PER2,0.95,1.0,1.0,0.0,0.0,10,5
PER2,0.99,0.998,0.98,0.0,0.0,10,5
PER3,0.7,0.999,0.99,0.0,0.0,10,5
PER3,0.8,0.998,0.99,0.0,0.0,10,5
PER3,0.85,0.998,0.99,0.0,0.0,10,5
PER3,0.9,0.998,0.99,0.0,0.0,10,5
PER3,0.95,0.998,0.99,0.0,0.0,10,5
PER3,0.99,0.9960000000000001,0.99,0.0,0.0,10,5
RORA,0.7,1.0,1.0,0.0,0.0,10,5
RORA,0.8,1.0,1.0,0.0,0.0,10,5
RORA,0.85,1.0,1.0,0.0,0.0,10,5
RORA,0.9,1.0,1.0,0.0,0.0,10,5
RORA,0.95,1.0,1.0,0.0,0.0,10,5
RORA,0.99,1.0,1.0,0.0,0.0,10,5
RORB,0.7,1.0,1.0,0.0,0.0,10,5
RORB,0.8,1.0,1.0,0.0,0.0,10,5
RORB,0.85,1.0,1.0,0.0,0.0,10,5
RORB,0.9,1.0,1.0,0.0,0.0,10,5
RORB,0.95,1.0,1.0,0.0,0.0,10,5
RORB,0.99,1.0,1.0,0.0,0.0,10,5
RORC,0.7,1.0,1.0,0.0,0.0,10,5
RORC,0.8,1.0,1.0,0.0,0.0,10,5
RORC,0.85,1.0,1.0,0.0,0.0,10,5
RORC,0.9,1.0,1.0,0.0,0.0,10,5
RORC,0.95,1.0,1.0,0.0,0.0,10,5
RORC,0.99,1.0,1.0,0.0,0.0,10,5
