species,gene,source,protein_accession,best_query,chromosome
Mirza_zaza,ARNTL,miniprot,,Microcebus_murinus__ARNTL__XP_075858275.1,CAUYML010130273.1
Myrmecobius_fasciatus,ARNTL,miniprot,,Sarcophilus_harrisii__ARNTL__XP_031797447.1,JAJPUD010000122.1
Nanger_dama,ARNTL,miniprot,,Pan_troglodytes__ARNTL__XP_016775903.2,CAKJTW010000014.1
Nasua_narica,ARNTL,miniprot,,Pan_troglodytes__ARNTL__XP_016775903.2,CM052815.1
Nycticebus_coucang,ARNTL,refseq,XP_053416691.1,,
Ochotona_princeps,ARNTL,refseq,XP_058519339.1,,
Octodon_degus,ARNTL,refseq,XP_023575156.1,,
Orycteropus_afer,ARNTL,refseq,XP_042638763.1,,
Paguma_larvata,ARNTL,miniprot,,Pan_troglodytes__ARNTL__XP_016775903.2,CM057831.1
Pan_troglodytes,ARNTL,refseq,XP_016775903.2,,
Panthera_pardus,ARNTL,refseq,XP_019311921.1,,
Peromyscus_eremicus,ARNTL,refseq,XP_059124666.1,,
Phacochoerus_africanus,ARNTL,refseq,XP_047632210.1,,
Phalanger_gymnotis,ARNTL,miniprot,,Macrotis_lagotis__ARNTL__XP_074086440.1,CM053623.1
Pipistrellus_pipistrellus,ARNTL,miniprot,,Pan_troglodytes__ARNTL__XP_016775903.2,CBDBGO020000010.1
Plecturocebus_cupreus,ARNTL,miniprot,,Pan_troglodytes__ARNTL__XP_016775903.2,CM080815.1
Pseudocheirus_occidentalis,ARNTL,miniprot,,Macrotis_lagotis__ARNTL__XP_074086440.1,CM053601.1
Puma_concolor,ARNTL,refseq,XP_025784271.1,,
Rattus_norvegicus,ARNTL,refseq,NP_077338.2,,
Rhynchocyon_petersi,ARNTL,refseq,KAM6157575.1,,
Saccopteryx_bilineata,ARNTL,refseq,XP_066107095.1,,
Sarcophilus_harrisii,ARNTL,refseq,XP_031797447.1,,
Sciurus_vulgaris,ARNTL,refseq,XP_078958828.1,,
Speothos_venaticus,ARNTL,miniprot,,Pan_troglodytes__ARNTL__XP_016775903.2,BLYH01033475.1
Suricata_suricatta,ARNTL,refseq,XP_029812043.1,,
Sylvilagus_floridanus,ARNTL,miniprot,,Pan_troglodytes__ARNTL__XP_016775903.2,OX463224.1
Tapirus_terrestris,ARNTL,miniprot,,Pan_troglodytes__ARNTL__XP_016775903.2,CM142114.1
Tragelaphus_eurycerus,ARNTL,miniprot,,Pan_troglodytes__ARNTL__XP_016775903.2,CM080733.1
Uromys_caudimaculatus,ARNTL,miniprot,,Arvicanthis_niloticus__ARNTL__XP_076797187.1,CM052703.1
Vicugna_pacos,ARNTL,refseq,XP_072825635.1,,
Xerus_rutilus,ARNTL,miniprot,,Pan_troglodytes__ARNTL__XP_016775903.2,CM053399.1
Acinonyx_jubatus,BHLHE40,refseq,XP_014932196.2,,
Acomys_cahirinus,BHLHE40,miniprot,,Equus_caballus__BHLHE40__XP_001496332.2,JAULSH010000004.1
Aepyceros_melampus,BHLHE40,miniprot,,Equus_caballus__BHLHE40__XP_001496332.2,SJXQ01005239.1
Aotus_nancymaae,BHLHE40,refseq,XP_012327584.1,,
Arvicanthis_niloticus,BHLHE40,refseq,XP_034367738.1,,
Bos_taurus,BHLHE40,refseq,NP_001020100.1,,
Callithrix_jacchus,BHLHE40,refseq,XP_002758633.1,,
Camelus_bactrianus,BHLHE40,refseq,XP_010960691.1,,
Caracal_caracal,BHLHE40,miniprot,,Equus_caballus__BHLHE40__XP_001496332.2,JACGTZ010000443.1
Cebus_imitator,BHLHE40,refseq,XP_017368119.1,,
Choloepus_hoffmanni,BHLHE40,miniprot,,Equus_caballus__BHLHE40__XP_001496332.2,KN193309.1
Cynocephalus_volans,BHLHE40,refseq,XP_062971151.1,,
Cynomys_ludovicianus,BHLHE40,miniprot,,Equus_caballus__BHLHE40__XP_001496332.2,JACVBZ010001819.1
Dasypus_novemcinctus,BHLHE40,refseq,XP_004483159.2,,
Daubentonia_madagascariensis,BHLHE40,miniprot,,Equus_caballus__BHLHE40__XP_001496332.2,JBFSEQ010000001.1
Eira_barbara,BHLHE40,miniprot,,Equus_caballus__BHLHE40__XP_001496332.2,JAHRIH010000044.1
Equus_caballus,BHLHE40,refseq,XP_001496332.2,,
Giraffa_tippelskirchi,BHLHE40,miniprot,,Equus_caballus__BHLHE40__XP_001496332.2,CM136059.1
Gorilla_gorilla_gorilla,BHLHE40,refseq,XP_004033573.1,,
Homo_sapiens,BHLHE40,refseq,NP_003661.1,,
Hyaena_hyaena,BHLHE40,refseq,XP_039096217.1,,
Hylobates_pileatus,BHLHE40,miniprot,,Equus_caballus__BHLHE40__XP_001496332.2,CM038519.1
Ictidomys_tridecemlineatus,BHLHE40,refseq,XP_005331021.1,,
Jaculus_jaculus,BHLHE40,refseq,XP_004651545.1,,
Lagorchestes_hirsutus,BHLHE40,miniprot,,Sarcophilus_harrisii__BHLHE40__XP_031810191.1,JAPYYB010021308.1
Leopardus_geoffroyi,BHLHE40,refseq,XP_045349571.1,,
Macrotis_lagotis,BHLHE40,refseq,XP_074054775.1,,
Martes_flavigula,BHLHE40,miniprot,,Equus_caballus__BHLHE40__XP_001496332.2,CM081905.1
Microcebus_murinus,BHLHE40,refseq,XP_012616616.1,,
Mirza_zaza,BHLHE40,miniprot,,Equus_caballus__BHLHE40__XP_001496332.2,CAUYML010012370.1
Myrmecobius_fasciatus,BHLHE40,miniprot,,Sarcophilus_harrisii__BHLHE40__XP_031810191.1,JAJPUD010001729.1
Nanger_dama,BHLHE40,miniprot,,Equus_caballus__BHLHE40__XP_001496332.2,CAKJTW010000016.1
Nasua_narica,BHLHE40,miniprot,,Equus_caballus__BHLHE40__XP_001496332.2,CM052799.1
Nycticebus_coucang,BHLHE40,refseq,XP_053455582.1,,
Ochotona_princeps,BHLHE40,refseq,XP_004581332.2,,
Octodon_degus,BHLHE40,refseq,XP_004629592.1,,
Orycteropus_afer,BHLHE40,refseq,XP_007952252.1,,
Paguma_larvata,BHLHE40,miniprot,,Equus_caballus__BHLHE40__XP_001496332.2,CM057842.1
Pan_troglodytes,BHLHE40,refseq,XP_516248.3,,
Panthera_pardus,BHLHE40,refseq,XP_019284312.1,,
Peromyscus_eremicus,BHLHE40,refseq,XP_059114292.1,,
Phacochoerus_africanus,BHLHE40,refseq,XP_047635543.1,,
Phalanger_gymnotis,BHLHE40,miniprot,,Sarcophilus_harrisii__BHLHE40__XP_031810191.1,CM053624.1
Pipistrellus_pipistrellus,BHLHE40,miniprot,,Equus_caballus__BHLHE40__XP_001496332.2,CBDBGO020000015.1
Plecturocebus_cupreus,BHLHE40,miniprot,,Equus_caballus__BHLHE40__XP_001496332.2,CM080829.1
Pseudocheirus_occidentalis,BHLHE40,miniprot,,Sarcophilus_harrisii__BHLHE40__XP_031810191.1,CM053599.1
Puma_concolor,BHLHE40,refseq,XP_025777950.1,,
Rattus_norvegicus,BHLHE40,refseq,NP_445780.2,,
Rhynchocyon_petersi,BHLHE40,refseq,KAM6170508.1,,
Saccopteryx_bilineata,BHLHE40,refseq,XP_066100766.1,,
Sarcophilus_harrisii,BHLHE40,refseq,XP_031810191.1,,
Sciurus_vulgaris,BHLHE40,refseq,XP_078978325.1,,
Speothos_venaticus,BHLHE40,miniprot,,Equus_caballus__BHLHE40__XP_001496332.2,BLYH01041980.1
Suricata_suricatta,BHLHE40,refseq,XP_029774348.1,,
Sylvilagus_floridanus,BHLHE40,miniprot,,Equus_caballus__BHLHE40__XP_001496332.2,OX463226.1
Tapirus_terrestris,BHLHE40,miniprot,,Equus_caballus__BHLHE40__XP_001496332.2,CM142108.1
Tragelaphus_eurycerus,BHLHE40,miniprot,,Equus_caballus__BHLHE40__XP_001496332.2,CM080730.1
Uromys_caudimaculatus,BHLHE40,miniprot,,Equus_caballus__BHLHE40__XP_001496332.2,CM052700.1
Vicugna_pacos,BHLHE40,refseq,XP_006196574.2,,
Xerus_rutilus,BHLHE40,miniprot,,Equus_caballus__BHLHE40__XP_001496332.2,CM053416.1
Acinonyx_jubatus,BHLHE41,refseq,XP_026891586.2,,
Acomys_cahirinus,BHLHE41,miniprot,,Arvicanthis_niloticus__BHLHE41__XP_034367894.1,JAULSH010000004.1
Aepyceros_melampus,BHLHE41,miniprot,,Equus_caballus__BHLHE41__XP_070127194.1,SJXQ01000435.1
Aotus_nancymaae,BHLHE41,refseq,XP_021522528.2,,
Arvicanthis_niloticus,BHLHE41,refseq,XP_034367894.1,,
Bos_taurus,BHLHE41,refseq,NP_001069765.1,,
Callithrix_jacchus,BHLHE41,refseq,XP_035111916.1,,
Camelus_bactrianus,BHLHE41,refseq,XP_010944839.2,,
Caracal_caracal,BHLHE41,miniprot,,Panthera_pardus__BHLHE41__XP_019307813.2,JACGTZ010000192.1
Cebus_imitator,BHLHE41,refseq,XP_017362524.1,,
Choloepus_hoffmanni,BHLHE41,miniprot,,Leopardus_geoffroyi__BHLHE41__XP_045319539.1,KN193622.1
Cynocephalus_volans,BHLHE41,refseq,XP_062932007.1,,
Cynomys_ludovicianus,BHLHE41,miniprot,,Panthera_pardus__BHLHE41__XP_019307813.2,JACVBZ010000745.1
Dasypus_novemcinctus,BHLHE41,refseq,XP_058138907.1,,
Daubentonia_madagascariensis,BHLHE41,miniprot,,Panthera_pardus__BHLHE41__XP_019307813.2,JBFSEQ010000005.1
Eira_barbara,BHLHE41,miniprot,,Leopardus_geoffroyi__BHLHE41__XP_045319539.1,JAHRIH010000066.1
Equus_caballus,BHLHE41,refseq,XP_070127194.1,,
Giraffa_tippelskirchi,BHLHE41,miniprot,,Panthera_pardus__BHLHE41__XP_019307813.2,CM136054.1
Gorilla_gorilla_gorilla,BHLHE41,refseq,XP_030856706.1,,
Homo_sapiens,BHLHE41,refseq,NP_110389.1,,
Hyaena_hyaena,BHLHE41,refseq,XP_039096736.1,,
Hylobates_pileatus,BHLHE41,miniprot,,Gorilla_gorilla_gorilla__BHLHE41__XP_030856706.1,CM038523.1
Ictidomys_tridecemlineatus,BHLHE41,refseq,XP_077871169.1,,
Jaculus_jaculus,BHLHE41,refseq,XP_012805565.2,,
Lagorchestes_hirsutus,BHLHE41,miniprot,,Sarcophilus_harrisii__BHLHE41__XP_031794343.1,CM052675.1
Leopardus_geoffroyi,BHLHE41,refseq,XP_045319539.1,,
Martes_flavigula,BHLHE41,miniprot,,Leopardus_geoffroyi__BHLHE41__XP_045319539.1,CM081910.1
Microcebus_murinus,BHLHE41,refseq,XP_012594991.2,,
Mirza_zaza,BHLHE41,miniprot,,Leopardus_geoffroyi__BHLHE41__XP_045319539.1,CAUYML010009721.1
Myrmecobius_fasciatus,BHLHE41,miniprot,,Sarcophilus_harrisii__BHLHE41__XP_031794343.1,JAJPUD010002518.1
Nanger_dama,BHLHE41,miniprot,,Panthera_pardus__BHLHE41__XP_019307813.2,CAKJTW010000002.1
Nasua_narica,BHLHE41,miniprot,,Panthera_pardus__BHLHE41__XP_019307813.2,CM052807.1
Nycticebus_coucang,BHLHE41,refseq,XP_053410848.1,,
Ochotona_princeps,BHLHE41,refseq,XP_058511824.1,,
Octodon_degus,BHLHE41,refseq,XP_023574789.1,,
Orycteropus_afer,BHLHE41,refseq,XP_007947987.1,,
Paguma_larvata,BHLHE41,miniprot,,Panthera_pardus__BHLHE41__XP_019307813.2,CM057828.1
Pan_troglodytes,BHLHE41,refseq,XP_520805.2,,
Panthera_pardus,BHLHE41,refseq,XP_019307813.2,,
Peromyscus_eremicus,BHLHE41,refseq,XP_059112978.1,,
Phacochoerus_africanus,BHLHE41,refseq,XP_047643308.1,,
Phalanger_gymnotis,BHLHE41,miniprot,,Sarcophilus_harrisii__BHLHE41__XP_031794343.1,CM053623.1
Pipistrellus_pipistrellus,BHLHE41,miniprot,,Panthera_pardus__BHLHE41__XP_019307813.2,CBDBGO020000003.1
Plecturocebus_cupreus,BHLHE41,miniprot,,Gorilla_gorilla_gorilla__BHLHE41__XP_030856706.1,CM080823.1
Pseudocheirus_occidentalis,BHLHE41,miniprot,,Sarcophilus_harrisii__BHLHE41__XP_031794343.1,CM053597.1
Rattus_norvegicus,BHLHE41,refseq,NP_579837.2,,
Rhynchocyon_petersi,BHLHE41,refseq,KAM6215139.1,,
Saccopteryx_bilineata,BHLHE41,refseq,XP_066121044.1,,
Sarcophilus_harrisii,BHLHE41,refseq,XP_031794343.1,,
Sciurus_vulgaris,BHLHE41,refseq,XP_078998911.1,,
Speothos_venaticus,BHLHE41,miniprot,,Leopardus_geoffroyi__BHLHE41__XP_045319539.1,BLYH01001491.1
Suricata_suricatta,BHLHE41,refseq,XP_029811382.1,,
Sylvilagus_floridanus,BHLHE41,miniprot,,Panthera_pardus__BHLHE41__XP_019307813.2,OX463230.1
Tapirus_terrestris,BHLHE41,miniprot,,Equus_caballus__BHLHE41__XP_070127194.1,CM142122.1
Tragelaphus_eurycerus,BHLHE41,miniprot,,Leopardus_geoffroyi__BHLHE41__XP_045319539.1,CM080731.1
Uromys_caudimaculatus,BHLHE41,miniprot,,Rattus_norvegicus__BHLHE41__NP_579837.2,CM052700.1
Vicugna_pacos,BHLHE41,refseq,XP_031526379.2,,
Xerus_rutilus,BHLHE41,miniprot,,Panthera_pardus__BHLHE41__XP_019307813.2,CM053403.1
Acinonyx_jubatus,CLOCK,refseq,XP_053073323.1,,
Acomys_cahirinus,CLOCK,miniprot,,Arvicanthis_niloticus__CLOCK__XP_076794784.1,JAULSH010000016.1
Aepyceros_melampus,CLOCK,miniprot,,Bos_taurus__CLOCK__NP_001276698.1,SJXQ01003253.1
Aotus_nancymaae,CLOCK,refseq,XP_064223339.1,,
Arvicanthis_niloticus,CLOCK,refseq,XP_076794784.1,,
Bos_taurus,CLOCK,refseq,NP_001276698.1,,
Callithrix_jacchus,CLOCK,refseq,XP_017826047.3,,
Camelus_bactrianus,CLOCK,refseq,XP_074203709.1,,
Caracal_caracal,CLOCK,miniprot,,Leopardus_geoffroyi__CLOCK__XP_045329957.1,JACGTZ010000173.1
Cebus_imitator,CLOCK,refseq,XP_037598523.1,,
Choloepus_hoffmanni,CLOCK,miniprot,,Dasypus_novemcinctus__CLOCK__XP_023445203.1,KN190600.1
Cynocephalus_volans,CLOCK,refseq,XP_062963355.1,,
Cynomys_ludovicianus,CLOCK,miniprot,,Ictidomys_tridecemlineatus__CLOCK__XP_077877434.1,JACVBZ010000389.1
Dasypus_novemcinctus,CLOCK,refseq,XP_023445203.1,,
Daubentonia_madagascariensis,CLOCK,miniprot,,Gorilla_gorilla_gorilla__CLOCK__XP_055241040.2,JBFSEQ010000003.1
Eira_barbara,CLOCK,miniprot,,Leopardus_geoffroyi__CLOCK__XP_045329957.1,JAHRIH010000018.1
Equus_caballus,CLOCK,refseq,NP_001295238.1,,
Giraffa_tippelskirchi,CLOCK,miniprot,,Bos_taurus__CLOCK__NP_001276698.1,CM136051.1
Gorilla_gorilla_gorilla,CLOCK,refseq,XP_055241040.2,,
Homo_sapiens,CLOCK,refseq,NP_001254772.1,,
Hyaena_hyaena,CLOCK,refseq,XP_039104958.1,,
Hylobates_pileatus,CLOCK,miniprot,,Gorilla_gorilla_gorilla__CLOCK__XP_055241040.2,CM038518.1
Ictidomys_tridecemlineatus,CLOCK,refseq,XP_077877434.1,,
Jaculus_jaculus,CLOCK,refseq,XP_045017339.1,,
Lagorchestes_hirsutus,CLOCK,miniprot,,Sarcophilus_harrisii__CLOCK__XP_031799875.1,CM052677.1
Leopardus_geoffroyi,CLOCK,refseq,XP_045329957.1,,
Macrotis_lagotis,CLOCK,refseq,XP_074085507.1,,
Martes_flavigula,CLOCK,miniprot,,Leopardus_geoffroyi__CLOCK__XP_045329957.1,CM081904.1
Microcebus_murinus,CLOCK,refseq,XP_075853987.1,,
Mirza_zaza,CLOCK,miniprot,,Microcebus_murinus__CLOCK__XP_075853987.1,CAUYML010048890.1
Myrmecobius_fasciatus,CLOCK,miniprot,,Sarcophilus_harrisii__CLOCK__XP_031799875.1,JAJPUD010000020.1
Nanger_dama,CLOCK,miniprot,,Bos_taurus__CLOCK__NP_001276698.1,CAKJTW010000001.1
Nasua_narica,CLOCK,miniprot,,Leopardus_geoffroyi__CLOCK__XP_045329957.1,CM052800.1
Nycticebus_coucang,CLOCK,refseq,XP_053433512.1,,
Ochotona_princeps,CLOCK,refseq,XP_058522644.1,,
Octodon_degus,CLOCK,refseq,XP_023566683.1,,
Orycteropus_afer,CLOCK,refseq,XP_042637634.1,,
Paguma_larvata,CLOCK,miniprot,,Leopardus_geoffroyi__CLOCK__XP_045329957.1,CM057823.1
Pan_troglodytes,CLOCK,refseq,XP_063665688.1,,
Panthera_pardus,CLOCK,refseq,XP_053757541.1,,
Peromyscus_eremicus,CLOCK,refseq,XP_059132021.1,,
Phacochoerus_africanus,CLOCK,refseq,XP_047654711.1,,
Phalanger_gymnotis,CLOCK,miniprot,,Macrotis_lagotis__CLOCK__XP_074085507.1,CM053623.1
Pipistrellus_pipistrellus,CLOCK,miniprot,,Vicugna_pacos__CLOCK__XP_072799718.1,CBDBGO020000001.1
Plecturocebus_cupreus,CLOCK,miniprot,,Aotus_nancymaae__CLOCK__XP_064223339.1,CM080832.1
Puma_concolor,CLOCK,refseq,XP_025777170.1,,
Rattus_norvegicus,CLOCK,refseq,NP_068628.2,,
Rhynchocyon_petersi,CLOCK,refseq,KAM6220772.1,,
Saccopteryx_bilineata,CLOCK,refseq,XP_066136131.1,,
Sarcophilus_harrisii,CLOCK,refseq,XP_031799875.1,,
Sciurus_vulgaris,CLOCK,refseq,XP_079009893.1,,
Speothos_venaticus,CLOCK,miniprot,,Leopardus_geoffroyi__CLOCK__XP_045329957.1,BLYH01007225.1
Suricata_suricatta,CLOCK,refseq,XP_029801541.1,,
Sylvilagus_floridanus,CLOCK,miniprot,,Microcebus_murinus__CLOCK__XP_075853987.1,OX463238.1
Tapirus_terrestris,CLOCK,miniprot,,Vicugna_pacos__CLOCK__XP_072799718.1,CM142115.1
Tragelaphus_eurycerus,CLOCK,miniprot,,Bos_taurus__CLOCK__NP_001276698.1,CM080734.1
Uromys_caudimaculatus,CLOCK,miniprot,,Arvicanthis_niloticus__CLOCK__XP_076794784.1,CM052712.1
Vicugna_pacos,CLOCK,refseq,XP_072799718.1,,
Xerus_rutilus,CLOCK,miniprot,,Ictidomys_tridecemlineatus__CLOCK__XP_077877434.1,CM053408.1
Acinonyx_jubatus,CRY1,refseq,XP_053082676.1,,
Acomys_cahirinus,CRY1,miniprot,,Peromyscus_eremicus__CRY1__XP_059101453.1,JAULSH010000016.1
Aepyceros_melampus,CRY1,miniprot,,Pan_troglodytes__CRY1__XP_016779596.2,SJXQ01008373.1
Aotus_nancymaae,CRY1,refseq,XP_012324588.3,,
Arvicanthis_niloticus,CRY1,refseq,XP_076775918.1,,
Bos_taurus,CRY1,refseq,NP_001098885.1,,
Callithrix_jacchus,CRY1,refseq,XP_035114419.2,,
Camelus_bactrianus,CRY1,refseq,XP_010968776.1,,
Caracal_caracal,CRY1,miniprot,,Pan_troglodytes__CRY1__XP_016779596.2,JACGTZ010000213.1
Cebus_imitator,CRY1,refseq,XP_017396510.1,,
Choloepus_hoffmanni,CRY1,miniprot,,Pan_troglodytes__CRY1__XP_016779596.2,KN185603.1
Cynocephalus_volans,CRY1,refseq,XP_062930896.1,,
Cynomys_ludovicianus,CRY1,miniprot,,Pan_troglodytes__CRY1__XP_016779596.2,JACVBZ010000197.1
Dasypus_novemcinctus,CRY1,refseq,XP_023438815.1,,
Daubentonia_madagascariensis,CRY1,miniprot,,Pan_troglodytes__CRY1__XP_016779596.2,JBFSEQ010000005.1
Eira_barbara,CRY1,miniprot,,Pan_troglodytes__CRY1__XP_016779596.2,JAHRIH010000064.1
Equus_caballus,CRY1,refseq,XP_001499263.1,,
Giraffa_tippelskirchi,CRY1,miniprot,,Pan_troglodytes__CRY1__XP_016779596.2,CM136054.1
Gorilla_gorilla_gorilla,CRY1,refseq,XP_063550353.1,,
Homo_sapiens,CRY1,refseq,NP_001400387.1,,
Hyaena_hyaena,CRY1,refseq,XP_039086368.1,,
Hylobates_pileatus,CRY1,miniprot,,Pan_troglodytes__CRY1__XP_016779596.2,CM038528.1
Ictidomys_tridecemlineatus,CRY1,refseq,XP_077909007.1,,
Jaculus_jaculus,CRY1,refseq,XP_045009281.1,,
Lagorchestes_hirsutus,CRY1,miniprot,,Macrotis_lagotis__CRY1__XP_074082874.1,CM052675.1
Leopardus_geoffroyi,CRY1,refseq,XP_045321371.1,,
Macrotis_lagotis,CRY1,refseq,XP_074082874.1,,
Martes_flavigula,CRY1,miniprot,,Pan_troglodytes__CRY1__XP_016779596.2,CM081910.1
Microcebus_murinus,CRY1,refseq,XP_012628233.1,,
Mirza_zaza,CRY1,miniprot,,Microcebus_murinus__CRY1__XP_012628233.1,CAUYML010119717.1
Myrmecobius_fasciatus,CRY1,miniprot,,Sarcophilus_harrisii__CRY1__XP_031794404.1,JAJPUD010000493.1
Nanger_dama,CRY1,miniprot,,Pan_troglodytes__CRY1__XP_016779596.2,CAKJTW010000002.1
Nasua_narica,CRY1,miniprot,,Pan_troglodytes__CRY1__XP_016779596.2,CM052807.1
Nycticebus_coucang,CRY1,refseq,XP_053442629.1,,
Ochotona_princeps,CRY1,refseq,XP_004589630.2,,
Octodon_degus,CRY1,refseq,XP_023572918.1,,
Orycteropus_afer,CRY1,refseq,XP_007946421.1,,
Paguma_larvata,CRY1,miniprot,,Pan_troglodytes__CRY1__XP_016779596.2,CM057828.1
Pan_troglodytes,CRY1,refseq,XP_016779596.2,,
Panthera_pardus,CRY1,refseq,XP_019302235.1,,
Peromyscus_eremicus,CRY1,refseq,XP_059101453.1,,
Phacochoerus_africanus,CRY1,refseq,XP_047642420.1,,
Phalanger_gymnotis,CRY1,miniprot,,Macrotis_lagotis__CRY1__XP_074082874.1,CM053623.1
Pipistrellus_pipistrellus,CRY1,miniprot,,Pan_troglodytes__CRY1__XP_016779596.2,CBDBGO020000003.1
Plecturocebus_cupreus,CRY1,miniprot,,Pan_troglodytes__CRY1__XP_016779596.2,CM080824.1
Pseudocheirus_occidentalis,CRY1,miniprot,,Macrotis_lagotis__CRY1__XP_074082874.1,CM053597.1
Puma_concolor,CRY1,refseq,XP_025782500.1,,
Rattus_norvegicus,CRY1,refseq,NP_942045.2,,
Rhynchocyon_petersi,CRY1,refseq,KAM6214761.1,,
Sarcophilus_harrisii,CRY1,refseq,XP_031794404.1,,
Sciurus_vulgaris,CRY1,refseq,XP_078999220.1,,
Speothos_venaticus,CRY1,miniprot,,Pan_troglodytes__CRY1__XP_016779596.2,BLYH01042983.1
Suricata_suricatta,CRY1,refseq,XP_029811092.1,,
Sylvilagus_floridanus,CRY1,miniprot,,Pan_troglodytes__CRY1__XP_016779596.2,OX463231.1
Tapirus_terrestris,CRY1,miniprot,,Pan_troglodytes__CRY1__XP_016779596.2,CM142130.1
Tragelaphus_eurycerus,CRY1,miniprot,,Pan_troglodytes__CRY1__XP_016779596.2,CM080731.1
Uromys_caudimaculatus,CRY1,miniprot,,Rattus_norvegicus__CRY1__NP_942045.2,CM052707.1
Vicugna_pacos,CRY1,refseq,XP_006205926.1,,
Xerus_rutilus,CRY1,miniprot,,Pan_troglodytes__CRY1__XP_016779596.2,CM053403.1
Acinonyx_jubatus,CRY2,refseq,XP_026928625.1,,
Acomys_cahirinus,CRY2,miniprot,,Arvicanthis_niloticus__CRY2__XP_076785412.1,JAULSH010000001.1
Aepyceros_melampus,CRY2,miniprot,,Bos_taurus__CRY2__NP_001276715.1,SJXQ01006801.1
Aotus_nancymaae,CRY2,refseq,XP_012307855.1,,
Arvicanthis_niloticus,CRY2,refseq,XP_076785412.1,,
Bos_taurus,CRY2,refseq,NP_001276715.1,,
Callithrix_jacchus,CRY2,refseq,XP_002755255.1,,
Camelus_bactrianus,CRY2,refseq,XP_010962930.2,,
Caracal_caracal,CRY2,miniprot,,Leopardus_geoffroyi__CRY2__XP_045342584.1,JACGTZ010000045.1
Cebus_imitator,CRY2,refseq,XP_017384856.1,,
Choloepus_hoffmanni,CRY2,miniprot,,Phacochoerus_africanus__CRY2__XP_047631868.1,KN185603.1
Cynocephalus_volans,CRY2,refseq,XP_062949558.1,,
Cynomys_ludovicianus,CRY2,miniprot,,Ictidomys_tridecemlineatus__CRY2__XP_021585313.2,JACVBZ010000848.1
Dasypus_novemcinctus,CRY2,refseq,XP_058161466.1,,
Daubentonia_madagascariensis,CRY2,miniprot,,Nycticebus_coucang__CRY2__XP_053416024.1,JBFSEQ010000001.1
Eira_barbara,CRY2,miniprot,,Leopardus_geoffroyi__CRY2__XP_045342584.1,JAHRIH010000046.1
Equus_caballus,CRY2,refseq,XP_023509705.2,,
Giraffa_tippelskirchi,CRY2,miniprot,,Pan_troglodytes__CRY2__XP_016776215.1,CM136061.1
Gorilla_gorilla_gorilla,CRY2,refseq,XP_055210718.1,,
Homo_sapiens,CRY2,refseq,NP_066940.3,,
Hyaena_hyaena,CRY2,refseq,XP_039082709.1,,
Hylobates_pileatus,CRY2,miniprot,,Sarcophilus_harrisii__CRY2__XP_031799863.1,CM038528.1
Ictidomys_tridecemlineatus,CRY2,refseq,XP_021585313.2,,
Jaculus_jaculus,CRY2,refseq,XP_044990642.1,,
