ARNTL,Hylobates_pileatus,,miniprot,2199,732,PASS,exact | miniprot-local
ARNTL,Ictidomys_tridecemlineatus,XP_077902579.1,refseq,1881,626,PASS,exact | coded_by:XM_078046453.1:492..2372
ARNTL,Jaculus_jaculus,XP_045000957.1,refseq,1881,626,PASS,exact | coded_by:XM_045145022.1:450..2330
ARNTL,Lagorchestes_hirsutus,,miniprot,1902,633,PASS,exact | miniprot-local
ARNTL,Leopardus_geoffroyi,XP_045340525.1,refseq,1917,638,PASS,exact | coded_by:XM_045484569.1:419..2335
ARNTL,Macrotis_lagotis,XP_074086440.1,refseq,1902,633,PASS,exact | coded_by:XM_074230339.1:8624..10525
ARNTL,Martes_flavigula,,miniprot,2223,739,DROP,2 internal stop(s); len aa=740 prot=739 | miniprot-local
ARNTL,Microcebus_murinus,XP_075858275.1,refseq,1881,626,PASS,exact | coded_by:XM_076002160.1:523..2403
ARNTL,Mirza_zaza,,miniprot,1858,616,DROP,cds not x3 (trim 1); 18 internal stop(s); len aa=619 prot=616 | miniprot-local
ARNTL,Myrmecobius_fasciatus,,miniprot,1881,626,PASS,exact | miniprot-local
ARNTL,Nanger_dama,,miniprot,2222,736,DROP,cds not x3 (trim 2); 34 internal stop(s); len aa=740 prot=736 | miniprot-local
ARNTL,Nasua_narica,,miniprot,2225,738,DROP,cds not x3 (trim 2); 39 internal stop(s); len aa=741 prot=738 | miniprot-local
ARNTL,Nycticebus_coucang,XP_053416691.1,refseq,1881,626,PASS,exact | coded_by:XM_053560716.1:352..2232
ARNTL,Ochotona_princeps,XP_058519339.1,refseq,1881,626,PASS,exact | coded_by:XM_058663356.1:537..2417
ARNTL,Octodon_degus,XP_023575156.1,refseq,1899,632,PASS,exact | coded_by:XM_023719388.1:458..2356
ARNTL,Orycteropus_afer,XP_042638763.1,refseq,1902,633,PASS,exact | coded_by:XM_042782829.1:1..1902
ARNTL,Paguma_larvata,,miniprot,2196,730,DROP,2 internal stop(s); len aa=731 prot=730 | miniprot-local
ARNTL,Pan_troglodytes,XP_016775903.2,refseq,2199,732,PASS,exact | coded_by:XM_016920414.3:94..2292
ARNTL,Panthera_pardus,XP_019311921.1,refseq,1881,626,PASS,exact | coded_by:XM_019456376.2:440..2320
ARNTL,Peromyscus_eremicus,XP_059124666.1,refseq,1881,626,PASS,exact | coded_by:XM_059268683.1:482..2362
ARNTL,Phacochoerus_africanus,XP_047632210.1,refseq,1881,626,PASS,exact | coded_by:XM_047776254.1:471..2351
ARNTL,Phalanger_gymnotis,,miniprot,1641,548,DROP,len aa=547 prot=548 | miniprot-local
ARNTL,Pipistrellus_pipistrellus,,miniprot,2215,737,DROP,cds not x3 (trim 1); 37 internal stop(s); len aa=738 prot=737 | miniprot-local
ARNTL,Plecturocebus_cupreus,,miniprot,2199,731,DROP,1 internal stop(s); len aa=732 prot=731 | miniprot-local
ARNTL,Pseudocheirus_occidentalis,,miniprot,1908,635,PASS,exact | miniprot-local
ARNTL,Puma_concolor,XP_025784271.1,refseq,1896,631,PASS,exact | coded_by:XM_025928486.1:1..1896
ARNTL,Rattus_norvegicus,NP_077338.2,refseq,1881,626,PASS,exact | coded_by:NM_024362.2:589..2469
ARNTL,Rhynchocyon_petersi,KAM6157575.1,refseq,1881,626,PASS,"exact | coded_by:join(JBHNZN010000012.1:79114657..79114796, JBHNZN010000012.1:79116963..79117001, JBHNZN010000012.1:79117311..79117352, JBHNZN010000012.1:79119806..79119963, JBHNZN010000012.1:79121929..79122008, JBHNZN010000012.1:79126347..79126439, JBHNZN010000012.1:79127596..79127713, JBHNZN010000012.1:79130993..79131142, JBHNZN010000012.1:79134580..79134826, JBHNZN010000012.1:79136106..79136212, JBHNZN010000012.1:79137063..79137213, JBHNZN010000012.1:79138031..79138119, JBHNZN010000012.1:79139558..79139666, JBHNZN010000012.1:79144851..79144944, JBHNZN010000012.1:79150682..79150784, JBHNZN010000012.1:79151352..79151512)"
ARNTL,Saccopteryx_bilineata,XP_066107095.1,refseq,1881,626,PASS,exact | coded_by:XM_066250998.1:489..2369
ARNTL,Sarcophilus_harrisii,XP_031797447.1,refseq,1902,633,PASS,exact | coded_by:XM_031941587.1:17..1918
ARNTL,Sciurus_vulgaris,XP_078958828.1,refseq,1881,626,PASS,exact | coded_by:XM_079102702.1:487..2367
ARNTL,Speothos_venaticus,,miniprot,2189,727,DROP,cds not x3 (trim 2); 35 internal stop(s); len aa=729 prot=727 | miniprot-local
ARNTL,Suricata_suricatta,XP_029812043.1,refseq,1881,626,PASS,exact | coded_by:XM_029956183.1:446..2326
ARNTL,Sylvilagus_floridanus,,miniprot,2201,731,DROP,cds not x3 (trim 2); 37 internal stop(s); len aa=733 prot=731 | miniprot-local
ARNTL,Tapirus_terrestris,,miniprot,2240,743,DROP,cds not x3 (trim 2); 35 internal stop(s); len aa=746 prot=743 | miniprot-local
ARNTL,Tragelaphus_eurycerus,,miniprot,2224,738,DROP,cds not x3 (trim 1); 41 internal stop(s); len aa=741 prot=738 | miniprot-local
ARNTL,Uromys_caudimaculatus,,miniprot,1878,625,PASS,exact | miniprot-local
ARNTL,Vicugna_pacos,XP_072825635.1,refseq,1881,626,PASS,exact | coded_by:XM_072969534.1:432..2312
ARNTL,Xerus_rutilus,,miniprot,2204,730,DROP,cds not x3 (trim 2); 36 internal stop(s); len aa=734 prot=730 | miniprot-local
BHLHE40,Acinonyx_jubatus,XP_014932196.2,refseq,1239,412,PASS,exact | coded_by:XM_015076710.3:271..1509
BHLHE40,Acomys_cahirinus,,miniprot,1777,589,DROP,cds not x3 (trim 1); 16 internal stop(s); len aa=592 prot=589 | miniprot-local
BHLHE40,Aepyceros_melampus,,miniprot,1541,510,DROP,cds not x3 (trim 2); 8 internal stop(s); len aa=513 prot=510 | miniprot-local
BHLHE40,Aotus_nancymaae,XP_012327584.1,refseq,1284,427,PASS,exact | coded_by:XM_012472161.2:36..1319
BHLHE40,Arvicanthis_niloticus,XP_034367738.1,refseq,1236,411,PASS,exact | coded_by:XM_034511847.2:556..1791
BHLHE40,Bos_taurus,NP_001020100.1,refseq,1239,412,PASS,exact | coded_by:NM_001024929.1:227..1465
BHLHE40,Callithrix_jacchus,XP_002758633.1,refseq,1239,412,PASS,exact | coded_by:XM_002758587.6:280..1518
BHLHE40,Camelus_bactrianus,XP_010960691.1,refseq,1236,411,PASS,exact | coded_by:XM_010962389.3:322..1557
BHLHE40,Caracal_caracal,,miniprot,1710,568,DROP,len aa=569 prot=568 | miniprot-local
BHLHE40,Cebus_imitator,XP_017368119.1,refseq,1239,412,PASS,exact | coded_by:XM_017512630.2:315..1553
BHLHE40,Choloepus_hoffmanni,,miniprot,1723,572,DROP,cds not x3 (trim 1); 18 internal stop(s); len aa=574 prot=572 | miniprot-local
BHLHE40,Cynocephalus_volans,XP_062971151.1,refseq,1239,412,PASS,exact | coded_by:XM_063115081.1:869..2107
BHLHE40,Cynomys_ludovicianus,,miniprot,1732,575,DROP,cds not x3 (trim 1); 16 internal stop(s); len aa=577 prot=575 | miniprot-local
BHLHE40,Dasypus_novemcinctus,XP_004483159.2,refseq,1239,412,PASS,exact | coded_by:XM_004483102.5:915..2153
BHLHE40,Daubentonia_madagascariensis,,miniprot,1731,574,DROP,1 internal stop(s); len aa=576 prot=574 | miniprot-local
BHLHE40,Eira_barbara,,miniprot,1753,581,DROP,cds not x3 (trim 1); 20 internal stop(s); len aa=584 prot=581 | miniprot-local
BHLHE40,Equus_caballus,XP_001496332.2,refseq,1737,578,PASS,exact | coded_by:XM_001496282.7:292..2028
BHLHE40,Giraffa_tippelskirchi,,miniprot,1742,577,DROP,cds not x3 (trim 2); 15 internal stop(s); len aa=580 prot=577 | miniprot-local
BHLHE40,Gorilla_gorilla_gorilla,XP_004033573.1,refseq,1239,412,PASS,exact | coded_by:XM_004033525.5:457..1695
BHLHE40,Homo_sapiens,NP_003661.1,refseq,1239,412,PASS,exact | coded_by:NM_003670.3:283..1521
BHLHE40,Hyaena_hyaena,XP_039096217.1,refseq,1239,412,PASS,exact | coded_by:XM_039240286.1:254..1492
BHLHE40,Hylobates_pileatus,,miniprot,1742,579,DROP,cds not x3 (trim 2); 14 internal stop(s); len aa=580 prot=579 | miniprot-local
BHLHE40,Ictidomys_tridecemlineatus,XP_005331021.1,refseq,1236,411,PASS,exact | coded_by:XM_005330964.5:928..2163
BHLHE40,Jaculus_jaculus,XP_004651545.1,refseq,1233,410,PASS,exact | coded_by:XM_004651488.2:309..1541
BHLHE40,Lagorchestes_hirsutus,,miniprot,855,284,PASS,exact | miniprot-local
BHLHE40,Leopardus_geoffroyi,XP_045349571.1,refseq,1239,412,PASS,exact | coded_by:XM_045493615.1:760..1998
BHLHE40,Macrotis_lagotis,XP_074054775.1,refseq,1218,405,PASS,exact | coded_by:XM_074198674.1:276..1493
BHLHE40,Martes_flavigula,,miniprot,1755,583,DROP,1 internal stop(s); len aa=584 prot=583 | miniprot-local
BHLHE40,Microcebus_murinus,XP_012616616.1,refseq,1242,413,PASS,exact | coded_by:XM_012761162.3:310..1551
BHLHE40,Mirza_zaza,,miniprot,1682,559,DROP,cds not x3 (trim 2); 9 internal stop(s); len aa=560 prot=559 | miniprot-local
BHLHE40,Myrmecobius_fasciatus,,miniprot,1233,410,PASS,exact | miniprot-local
BHLHE40,Nanger_dama,,miniprot,1737,576,DROP,1 internal stop(s); len aa=578 prot=576 | miniprot-local
BHLHE40,Nasua_narica,,miniprot,1752,582,DROP,len aa=583 prot=582 | miniprot-local
BHLHE40,Nycticebus_coucang,XP_053455582.1,refseq,1239,412,PASS,exact | coded_by:XM_053599607.1:115..1353
BHLHE40,Ochotona_princeps,XP_004581332.2,refseq,1206,401,PASS,exact | coded_by:XM_004581275.2:949..2154
BHLHE40,Octodon_degus,XP_004629592.1,refseq,1239,412,PASS,exact | coded_by:XM_004629535.2:284..1522
BHLHE40,Orycteropus_afer,XP_007952252.1,refseq,1239,412,PASS,exact | coded_by:XM_007954061.2:1..1239
BHLHE40,Paguma_larvata,,miniprot,1741,578,DROP,cds not x3 (trim 1); 18 internal stop(s); len aa=580 prot=578 | miniprot-local
BHLHE40,Pan_troglodytes,XP_516248.3,refseq,1239,412,PASS,exact | coded_by:XM_516248.9:485..1723
BHLHE40,Panthera_pardus,XP_019284312.1,refseq,1239,412,PASS,exact | coded_by:XM_019428767.2:315..1553
BHLHE40,Peromyscus_eremicus,XP_059114292.1,refseq,1236,411,PASS,exact | coded_by:XM_059258309.1:309..1544
BHLHE40,Phacochoerus_africanus,XP_047635543.1,refseq,1239,412,PASS,exact | coded_by:XM_047779587.1:267..1505
BHLHE40,Phalanger_gymnotis,,miniprot,1236,411,PASS,exact | miniprot-local
BHLHE40,Pipistrellus_pipistrellus,,miniprot,1716,569,DROP,len aa=571 prot=569 | miniprot-local
BHLHE40,Plecturocebus_cupreus,,miniprot,1745,579,DROP,cds not x3 (trim 2); 15 internal stop(s); len aa=581 prot=579 | miniprot-local
BHLHE40,Pseudocheirus_occidentalis,,miniprot,1236,411,PASS,exact | miniprot-local
BHLHE40,Puma_concolor,XP_025777950.1,refseq,1239,412,PASS,exact | coded_by:XM_025922165.1:1..1239
BHLHE40,Rattus_norvegicus,NP_445780.2,refseq,1236,411,PASS,exact | coded_by:NM_053328.2:320..1555
BHLHE40,Rhynchocyon_petersi,KAM6170508.1,refseq,1227,408,PASS,"exact | coded_by:join(JBHNZN010000009.1:28097132..28097202, JBHNZN010000009.1:28097282..28097351, JBHNZN010000009.1:28097546..28097653, JBHNZN010000009.1:28098349..28098472, JBHNZN010000009.1:28099869..28100722)"
BHLHE40,Saccopteryx_bilineata,XP_066100766.1,refseq,1263,420,PASS,exact | coded_by:XM_066244669.1:487..1749
BHLHE40,Sarcophilus_harrisii,XP_031810191.1,refseq,1233,410,PASS,exact | coded_by:XM_031954331.1:282..1514
BHLHE40,Sciurus_vulgaris,XP_078978325.1,refseq,1233,410,PASS,exact | coded_by:XM_079122199.1:342..1574
BHLHE40,Speothos_venaticus,,miniprot,1743,579,DROP,len aa=580 prot=579 | miniprot-local
BHLHE40,Suricata_suricatta,XP_029774348.1,refseq,1239,412,PASS,exact | coded_by:XM_029918488.1:254..1492
BHLHE40,Sylvilagus_floridanus,,miniprot,1667,553,DROP,cds not x3 (trim 2); 12 internal stop(s); len aa=555 prot=553 | miniprot-local
BHLHE40,Tapirus_terrestris,,miniprot,1734,576,DROP,3 internal stop(s); len aa=577 prot=576 | miniprot-local
BHLHE40,Tragelaphus_eurycerus,,miniprot,1748,581,DROP,cds not x3 (trim 2); 15 internal stop(s); len aa=582 prot=581 | miniprot-local
BHLHE40,Uromys_caudimaculatus,,miniprot,1756,582,DROP,cds not x3 (trim 1); 17 internal stop(s); len aa=585 prot=582 | miniprot-local
BHLHE40,Vicugna_pacos,XP_006196574.2,refseq,1236,411,PASS,exact | coded_by:XM_006196512.4:304..1539
BHLHE40,Xerus_rutilus,,miniprot,1738,577,DROP,cds not x3 (trim 1); 14 internal stop(s); len aa=579 prot=577 | miniprot-local
BHLHE41,Acinonyx_jubatus,XP_026891586.2,refseq,1455,484,PASS,exact | coded_by:XM_027035785.2:728..2182
BHLHE41,Acomys_cahirinus,,miniprot,1236,411,PASS,exact | miniprot-local
BHLHE41,Aepyceros_melampus,,miniprot,1537,508,DROP,cds not x3 (trim 1); 22 internal stop(s); len aa=512 prot=508 | miniprot-local
BHLHE41,Aotus_nancymaae,XP_021522528.2,refseq,1440,479,PASS,exact | coded_by:XM_021666853.2:301..1740
BHLHE41,Arvicanthis_niloticus,XP_034367894.1,refseq,1230,409,PASS,exact | coded_by:XM_034512003.2:326..1555
BHLHE41,Bos_taurus,NP_001069765.1,refseq,1125,374,PASS,exact | coded_by:NM_001076297.1:156..1280
BHLHE41,Callithrix_jacchus,XP_035111916.1,refseq,1431,476,PASS,exact | coded_by:XM_035256025.3:265..1695
BHLHE41,Camelus_bactrianus,XP_010944839.2,refseq,1461,486,PASS,exact | coded_by:XM_010946537.3:506..1966
BHLHE41,Caracal_caracal,,miniprot,1783,592,DROP,cds not x3 (trim 1); 9 internal stop(s); len aa=594 prot=592 | miniprot-local
BHLHE41,Cebus_imitator,XP_017362524.1,refseq,1440,479,PASS,exact | coded_by:XM_017507035.2:342..1781
BHLHE41,Choloepus_hoffmanni,,miniprot,1696,562,DROP,cds not x3 (trim 1); 24 internal stop(s); len aa=565 prot=562 | miniprot-local
BHLHE41,Cynocephalus_volans,XP_062932007.1,refseq,1446,481,PASS,exact | coded_by:XM_063075937.1:1255..2700
BHLHE41,Cynomys_ludovicianus,,miniprot,1770,587,DROP,8 internal stop(s); len aa=589 prot=587 | miniprot-local
BHLHE41,Dasypus_novemcinctus,XP_058138907.1,refseq,1314,437,PASS,exact | coded_by:XM_058282924.2:309..1622
BHLHE41,Daubentonia_madagascariensis,,miniprot,1787,593,DROP,cds not x3 (trim 2); 20 internal stop(s); len aa=595 prot=593 | miniprot-local
BHLHE41,Eira_barbara,,miniprot,1798,598,DROP,cds not x3 (trim 1); 9 internal stop(s); len aa=599 prot=598 | miniprot-local
BHLHE41,Equus_caballus,XP_070127194.1,refseq,1761,586,PASS,exact | coded_by:XM_070271093.1:652..2412
BHLHE41,Giraffa_tippelskirchi,,miniprot,1789,594,DROP,cds not x3 (trim 1); 7 internal stop(s); len aa=596 prot=594 | miniprot-local
BHLHE41,Gorilla_gorilla_gorilla,XP_030856706.1,refseq,1755,584,PASS,exact | coded_by:XM_031000846.3:1000..2754
BHLHE41,Homo_sapiens,NP_110389.1,refseq,1449,482,PASS,exact | coded_by:NM_030762.3:259..1707
BHLHE41,Hyaena_hyaena,XP_039096736.1,refseq,1470,489,PASS,exact | coded_by:XM_039240805.1:286..1755
BHLHE41,Hylobates_pileatus,,miniprot,1746,581,PASS,exact | miniprot-local
BHLHE41,Ictidomys_tridecemlineatus,XP_077871169.1,refseq,1446,481,PASS,exact | coded_by:XM_078015043.1:348..1793
BHLHE41,Jaculus_jaculus,XP_012805565.2,refseq,1371,456,PASS,exact | coded_by:XM_012950111.2:82..1452
BHLHE41,Lagorchestes_hirsutus,,miniprot,1512,503,PASS,exact | miniprot-local
BHLHE41,Leopardus_geoffroyi,XP_045319539.1,refseq,1788,595,PASS,exact | coded_by:XM_045463583.1:3..1790
BHLHE41,Martes_flavigula,,miniprot,1792,596,DROP,cds not x3 (trim 1); 9 internal stop(s); len aa=597 prot=596 | miniprot-local
BHLHE41,Microcebus_murinus,XP_012594991.2,refseq,1458,485,PASS,exact | coded_by:XM_012739537.3:366..1823
BHLHE41,Mirza_zaza,,miniprot,1798,598,DROP,cds not x3 (trim 1); 6 internal stop(s); len aa=599 prot=598 | miniprot-local
BHLHE41,Myrmecobius_fasciatus,,miniprot,1500,499,PASS,exact | miniprot-local
BHLHE41,Nanger_dama,,miniprot,1784,592,DROP,cds not x3 (trim 2); 2 internal stop(s); len aa=594 prot=592 | miniprot-local
BHLHE41,Nasua_narica,,miniprot,1786,594,DROP,cds not x3 (trim 1); 8 internal stop(s); len aa=595 prot=594 | miniprot-local
BHLHE41,Nycticebus_coucang,XP_053410848.1,refseq,1428,475,PASS,exact | coded_by:XM_053554873.1:368..1795
BHLHE41,Ochotona_princeps,XP_058511824.1,refseq,1416,471,PASS,exact | coded_by:XM_058655841.1:213..1628
BHLHE41,Octodon_degus,XP_023574789.1,refseq,1386,461,PASS,exact | coded_by:XM_023719021.1:966..2351
BHLHE41,Orycteropus_afer,XP_007947987.1,refseq,969,322,PASS,exact | coded_by:XM_007949796.1:1..969
BHLHE41,Paguma_larvata,,miniprot,1786,593,DROP,cds not x3 (trim 1); 7 internal stop(s); len aa=595 prot=593 | miniprot-local
BHLHE41,Pan_troglodytes,XP_520805.2,refseq,1449,482,PASS,exact | coded_by:XM_520805.9:5614..7062
BHLHE41,Panthera_pardus,XP_019307813.2,refseq,1785,594,PASS,exact | coded_by:XM_019452268.2:4..1788
BHLHE41,Peromyscus_eremicus,XP_059112978.1,refseq,1227,408,PASS,exact | coded_by:XM_059256995.1:284..1510
BHLHE41,Phacochoerus_africanus,XP_047643308.1,refseq,1455,484,PASS,exact | coded_by:XM_047787352.1:381..1835
BHLHE41,Phalanger_gymnotis,,miniprot,1533,510,PASS,exact | miniprot-local
BHLHE41,Pipistrellus_pipistrellus,,miniprot,1794,595,DROP,1 internal stop(s); len aa=597 prot=595 | miniprot-local
BHLHE41,Plecturocebus_cupreus,,miniprot,1741,578,DROP,cds not x3 (trim 1); 6 internal stop(s); len aa=580 prot=578 | miniprot-local
BHLHE41,Pseudocheirus_occidentalis,,miniprot,1635,544,PASS,exact | miniprot-local
BHLHE41,Rattus_norvegicus,NP_579837.2,refseq,1233,410,PASS,exact | coded_by:NM_133303.2:268..1500
BHLHE41,Rhynchocyon_petersi,KAM6215139.1,refseq,1407,468,PASS,exact | elink+fasta_cds_na
BHLHE41,Saccopteryx_bilineata,XP_066121044.1,refseq,1407,468,PASS,exact | coded_by:XM_066264947.1:1357..2763
BHLHE41,Sarcophilus_harrisii,XP_031794343.1,refseq,1503,500,PASS,exact | coded_by:XM_031938483.1:400..1902
BHLHE41,Sciurus_vulgaris,XP_078998911.1,refseq,1449,482,PASS,exact | coded_by:XM_079142785.1:309..1757
BHLHE41,Speothos_venaticus,,miniprot,1853,616,DROP,cds not x3 (trim 2); 21 internal stop(s); len aa=617 prot=616 | miniprot-local
BHLHE41,Suricata_suricatta,XP_029811382.1,refseq,870,289,PASS,exact | coded_by:XM_029955522.1:1..870
BHLHE41,Sylvilagus_floridanus,,miniprot,1683,560,PASS,exact | miniprot-local
BHLHE41,Tapirus_terrestris,,miniprot,1759,585,DROP,cds not x3 (trim 1); 8 internal stop(s); len aa=586 prot=585 | miniprot-local
BHLHE41,Tragelaphus_eurycerus,,miniprot,1790,595,DROP,cds not x3 (trim 2); 22 internal stop(s); len aa=596 prot=595 | miniprot-local
BHLHE41,Uromys_caudimaculatus,,miniprot,1233,410,PASS,exact | miniprot-local
BHLHE41,Vicugna_pacos,XP_031526379.2,refseq,1464,487,PASS,exact | coded_by:XM_031670519.2:313..1776
BHLHE41,Xerus_rutilus,,miniprot,1773,589,DROP,1 internal stop(s); len aa=590 prot=589 | miniprot-local
CLOCK,Acinonyx_jubatus,XP_053073323.1,refseq,2532,843,PASS,exact | coded_by:XM_053217348.1:293..2824
CLOCK,Acomys_cahirinus,,miniprot,2601,866,PASS,exact | miniprot-local
CLOCK,Aepyceros_melampus,,miniprot,2095,696,DROP,cds not x3 (trim 1); 15 internal stop(s); len aa=698 prot=696 | miniprot-local
CLOCK,Aotus_nancymaae,XP_064223339.1,refseq,2547,848,PASS,exact | coded_by:XM_064367269.1:435..2981
CLOCK,Arvicanthis_niloticus,XP_076794784.1,refseq,2607,868,PASS,exact | coded_by:XM_076938669.1:527..3133
CLOCK,Bos_taurus,NP_001276698.1,refseq,2538,845,PASS,exact | coded_by:NM_001289769.1:1..2538
CLOCK,Callithrix_jacchus,XP_017826047.3,refseq,2553,850,PASS,exact | coded_by:XM_017970558.5:393..2945
CLOCK,Camelus_bactrianus,XP_074203709.1,refseq,2619,872,PASS,exact | coded_by:XM_074347608.1:1420..4038
CLOCK,Caracal_caracal,,miniprot,2535,844,DROP,cds not x3 (trim 2); 25 internal stop(s) | miniprot-local
CLOCK,Cebus_imitator,XP_037598523.1,refseq,2538,845,PASS,exact | coded_by:XM_037742595.1:421..2958
CLOCK,Choloepus_hoffmanni,,miniprot,1344,447,PASS,exact | miniprot-local
CLOCK,Cynocephalus_volans,XP_062963355.1,refseq,2541,846,PASS,exact | coded_by:XM_063107285.1:221..2761
CLOCK,Cynomys_ludovicianus,,miniprot,2589,862,PASS,exact | miniprot-local
CLOCK,Dasypus_novemcinctus,XP_023445203.1,refseq,2559,852,PASS,exact | coded_by:XM_023589435.3:266..2824
CLOCK,Daubentonia_madagascariensis,,miniprot,2556,851,PASS,exact | miniprot-local
CLOCK,Eira_barbara,,miniprot,2523,840,PASS,exact | miniprot-local
CLOCK,Equus_caballus,NP_001295238.1,refseq,2544,847,PASS,exact | coded_by:NM_001308309.3:597..3140
CLOCK,Giraffa_tippelskirchi,,miniprot,2538,845,PASS,exact | miniprot-local
CLOCK,Gorilla_gorilla_gorilla,XP_055241040.2,refseq,2547,848,PASS,exact | coded_by:XM_055385065.2:837..3383
CLOCK,Homo_sapiens,NP_001254772.1,refseq,2541,846,PASS,exact | coded_by:NM_001267843.2:927..3467
CLOCK,Hyaena_hyaena,XP_039104958.1,refseq,2532,843,PASS,exact | coded_by:XM_039249027.1:327..2858
CLOCK,Hylobates_pileatus,,miniprot,2556,851,PASS,exact | miniprot-local
CLOCK,Ictidomys_tridecemlineatus,XP_077877434.1,refseq,2592,863,PASS,exact | coded_by:XM_078021308.1:340..2931
CLOCK,Jaculus_jaculus,XP_045017339.1,refseq,2580,859,PASS,exact | coded_by:XM_045161404.1:221..2800
CLOCK,Lagorchestes_hirsutus,,miniprot,2556,851,PASS,exact | miniprot-local
CLOCK,Leopardus_geoffroyi,XP_045329957.1,refseq,2535,844,PASS,exact | coded_by:XM_045474001.1:696..3230
CLOCK,Macrotis_lagotis,XP_074085507.1,refseq,2628,875,PASS,exact | coded_by:XM_074229406.1:3718..6345
CLOCK,Martes_flavigula,,miniprot,2523,840,PASS,exact | miniprot-local
CLOCK,Microcebus_murinus,XP_075853987.1,refseq,2532,843,PASS,exact | coded_by:XM_075997872.1:342..2873
CLOCK,Mirza_zaza,,miniprot,1752,583,PASS,exact | miniprot-local
CLOCK,Myrmecobius_fasciatus,,miniprot,2526,841,PASS,exact | miniprot-local
CLOCK,Nanger_dama,,miniprot,2539,845,DROP,cds not x3 (trim 1); 22 internal stop(s); len aa=846 prot=845 | miniprot-local
CLOCK,Nasua_narica,,miniprot,2538,845,PASS,exact | miniprot-local
CLOCK,Nycticebus_coucang,XP_053433512.1,refseq,2562,853,PASS,exact | coded_by:XM_053577537.1:161..2722
CLOCK,Ochotona_princeps,XP_058522644.1,refseq,2562,853,PASS,exact | coded_by:XM_058666661.1:<1..2562
CLOCK,Octodon_degus,XP_023566683.1,refseq,2571,856,PASS,exact | coded_by:XM_023710915.1:502..3072
CLOCK,Orycteropus_afer,XP_042637634.1,refseq,2547,848,PASS,exact | coded_by:XM_042781700.1:1..2547
CLOCK,Paguma_larvata,,miniprot,2535,844,PASS,exact | miniprot-local
CLOCK,Pan_troglodytes,XP_063665688.1,refseq,2544,847,PASS,exact | coded_by:XM_063809618.1:301..2844
CLOCK,Panthera_pardus,XP_053757541.1,refseq,2535,844,PASS,exact | coded_by:XM_053901566.1:63..2597
CLOCK,Peromyscus_eremicus,XP_059132021.1,refseq,2577,858,PASS,exact | coded_by:XM_059276038.1:346..2922
CLOCK,Phacochoerus_africanus,XP_047654711.1,refseq,2568,855,PASS,exact | coded_by:XM_047798755.1:642..3209
CLOCK,Phalanger_gymnotis,,miniprot,2577,858,PASS,exact | miniprot-local
CLOCK,Pipistrellus_pipistrellus,,miniprot,2622,875,DROP,len aa=874 prot=875 | miniprot-local
